,Unnamed: 0.1,Unnamed: 0,key,option_mapping,question,references,option_ordinal
0,0,0,PAST_W42,"{1.0: 'Better', 2.0: 'Worse', 3.0: 'About the same', 99.0: 'Refused'}","Compared with twenty years ago, do you think developments in science have made people's lives","['Better', 'Worse', 'About the same', 'Refused']","[1.0, 2.0, 1.5]"
1,1,1,FUTURE_W42,"{1.0: 'Better', 2.0: 'Worse', 3.0: 'About the same', 99.0: 'Refused'}","Looking ahead to the next twenty years, do you think developments in science will make people's lives","['Better', 'Worse', 'About the same', 'Refused']","[1.0, 2.0, 1.5]"
2,2,2,SC1_W42,"{1.0: 'Mostly positive', 2.0: 'Mostly negative', 3.0: 'Equal positive and negative effects', 99.0: 'Refused'}","Overall, would you say science has had a mostly positive effect on our society or a mostly negative effect on our society?","['Mostly positive', 'Mostly negative', 'Equal positive and negative effects', 'Refused']","[1.0, 2.0, 1.5]"
3,3,3,CONFa_W42,"{1.0: 'A great deal of confidence', 2.0: 'A fair amount of confidence', 3.0: 'Not too much confidence', 4.0: 'No confidence at all', 99.0: 'Refused'}","How much confidence, if any, do you have in elected officials to act in the best interests of the public?","['A great deal of confidence', 'A fair amount of confidence', 'Not too much confidence', 'No confidence at all', 'Refused']","[1.0, 2.0, 3.0, 4.0]"
4,4,4,CONFb_W42,"{1.0: 'A great deal of confidence', 2.0: 'A fair amount of confidence', 3.0: 'Not too much confidence', 4.0: 'No confidence at all', 99.0: 'Refused'}","How much confidence, if any, do you have in the news media to act in the best interests of the public?","['A great deal of confidence', 'A fair amount of confidence', 'Not too much confidence', 'No confidence at all', 'Refused']","[1.0, 2.0, 3.0, 4.0]"
5,5,5,CONFc_W42,"{1.0: 'A great deal of confidence', 2.0: 'A fair amount of confidence', 3.0: 'Not too much confidence', 4.0: 'No confidence at all', 99.0: 'Refused'}","How much confidence, if any, do you have in the military to act in the best interests of the public?","['A great deal of confidence', 'A fair amount of confidence', 'Not too much confidence', 'No confidence at all', 'Refused']","[1.0, 2.0, 3.0, 4.0]"
6,6,6,CONFd_F1_W42,"{1.0: 'A great deal of confidence', 2.0: 'A fair amount of confidence', 3.0: 'Not too much confidence', 4.0: 'No confidence at all', 99.0: 'Refused'}","How much confidence, if any, do you have in medical scientists to act in the best interests of the public?","['A great deal of confidence', 'A fair amount of confidence', 'Not too much confidence', 'No confidence at all', 'Refused']","[1.0, 2.0, 3.0, 4.0]"
7,7,7,CONFd_F2_W42,"{1.0: 'A great deal of confidence', 2.0: 'A fair amount of confidence', 3.0: 'Not too much confidence', 4.0: 'No confidence at all', 99.0: 'Refused'}","How much confidence, if any, do you have in scientists to act in the best interests of the public?","['A great deal of confidence', 'A fair amount of confidence', 'Not too much confidence', 'No confidence at all', 'Refused']","[1.0, 2.0, 3.0, 4.0]"
8,8,8,CONFe_W42,"{1.0: 'A great deal of confidence', 2.0: 'A fair amount of confidence', 3.0: 'Not too much confidence', 4.0: 'No confidence at all', 99.0: 'Refused'}","How much confidence, if any, do you have in religious leaders to act in the best interests of the public?","['A great deal of confidence', 'A fair amount of confidence', 'Not too much confidence', 'No confidence at all', 'Refused']","[1.0, 2.0, 3.0, 4.0]"
9,9,9,CONFf_W42,"{1.0: 'A great deal of confidence', 2.0: 'A fair amount of confidence', 3.0: 'Not too much confidence', 4.0: 'No confidence at all', 99.0: 'Refused'}","How much confidence, if any, do you have in public school principals for grades K-12 to act in the best interests of the public?","['A great deal of confidence', 'A fair amount of confidence', 'Not too much confidence', 'No confidence at all', 'Refused']","[1.0, 2.0, 3.0, 4.0]"
