,index,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,key,option_mapping,question,references,option_ordinal,survey
0,3,3,3,3,WORRYB_W26,"{1.0: 'Worry a lot', 2.0: 'Worry a little', 3.0: 'Do not worry at all', 99.0: 'Refused'}","How much, if at all, do you worry about the following happening to you? Being the victim of a terrorist attack","['Worry a lot', 'Worry a little', 'Do not worry at all', 'Refused']","[1.0, 2.0, 3.0]",Pew_American_Trends_Panel_W26
1,5,5,5,5,WORRYD_W26,"{1.0: 'Worry a lot', 2.0: 'Worry a little', 3.0: 'Do not worry at all', 99.0: 'Refused'}","How much, if at all, do you worry about the following happening to you? Not being able to pay your bills","['Worry a lot', 'Worry a little', 'Do not worry at all', 'Refused']","[1.0, 2.0, 3.0]",Pew_American_Trends_Panel_W26
2,6,6,6,6,WORRYE_W26,"{1.0: 'Worry a lot', 2.0: 'Worry a little', 3.0: 'Do not worry at all', 99.0: 'Refused'}","How much, if at all, do you worry about the following happening to you? Being the victim of a violent crime","['Worry a lot', 'Worry a little', 'Do not worry at all', 'Refused']","[1.0, 2.0, 3.0]",Pew_American_Trends_Panel_W26
3,7,7,7,7,WORRYF_W26,"{1.0: 'Worry a lot', 2.0: 'Worry a little', 3.0: 'Do not worry at all', 99.0: 'Refused'}","How much, if at all, do you worry about the following happening to you? Being the victim of a mass shooting","['Worry a lot', 'Worry a little', 'Do not worry at all', 'Refused']","[1.0, 2.0, 3.0]",Pew_American_Trends_Panel_W26
4,13,13,13,13,GUNTYPEOWNC_W26,"{1.0: 'Yes, I currently own', 2.0: 'Yes, I have owned in the past but do not currently own', 3.0: 'No, I have never owned', 99.0: 'Refused'}",Do you currently or have you ever owned a shotgun?,"['Yes, I currently own', 'Yes, I have owned in the past but do not currently own', 'No, I have never owned', 'Refused']","[1.0, 2.0, 3.0]",Pew_American_Trends_Panel_W26
5,15,15,15,15,REASONGUNA_W26,"{1.0: 'Major reason', 2.0: 'Minor reason', 3.0: 'Not a reason', 99.0: 'Refused'}","Please indicate whether the following is a major reason, a minor reason, or not a reason why you own a gun. For protection","['Major reason', 'Minor reason', 'Not a reason', 'Refused']","[1.0, 2.0, 3.0]",Pew_American_Trends_Panel_W26
6,16,16,16,16,REASONGUNB_W26,"{1.0: 'Major reason', 2.0: 'Minor reason', 3.0: 'Not a reason', 99.0: 'Refused'}","Please indicate whether the following is a major reason, a minor reason, or not a reason why you own a gun. For hunting","['Major reason', 'Minor reason', 'Not a reason', 'Refused']","[1.0, 2.0, 3.0]",Pew_American_Trends_Panel_W26
7,17,17,17,17,REASONGUNC_W26,"{1.0: 'Major reason', 2.0: 'Minor reason', 3.0: 'Not a reason', 99.0: 'Refused'}","Please indicate whether the following is a major reason, a minor reason, or not a reason why you own a gun. For sport shooting, including target shooting and trap and skeet","['Major reason', 'Minor reason', 'Not a reason', 'Refused']","[1.0, 2.0, 3.0]",Pew_American_Trends_Panel_W26
8,18,18,18,18,REASONGUND_W26,"{1.0: 'Major reason', 2.0: 'Minor reason', 3.0: 'Not a reason', 99.0: 'Refused'}","Please indicate whether the following is a major reason, a minor reason, or not a reason why you own a gun. As part of a gun collection","['Major reason', 'Minor reason', 'Not a reason', 'Refused']","[1.0, 2.0, 3.0]",Pew_American_Trends_Panel_W26
9,19,19,19,19,REASONGUNE_W26,"{1.0: 'Major reason', 2.0: 'Minor reason', 3.0: 'Not a reason', 99.0: 'Refused'}","Please indicate whether the following is a major reason, a minor reason, or not a reason why you own a gun. For my job","['Major reason', 'Minor reason', 'Not a reason', 'Refused']","[1.0, 2.0, 3.0]",Pew_American_Trends_Panel_W26
10,20,20,20,20,IMPREASONGUN_W26,"{1.0: 'For protection', 2.0: 'For hunting', 3.0: 'For sport shooting, including target shooting and trap and skeet', 4.0: 'As part of a gun collection', 5.0: 'For my job', 99.0: 'Refused'}",Which of the following is the most important reason why you own a gun?,"['For protection', 'For hunting', 'For sport shooting, including target shooting and trap and skeet', 'As part of a gun collection', 'For my job', 'Refused']","[1, 1, 1, 1, 1]",Pew_American_Trends_Panel_W26
11,21,21,21,21,GUNIDENTITY_W26,"{1.0: 'Very important', 2.0: 'Somewhat important', 3.0: 'Not too important', 4.0: 'Not at all important', 99.0: 'Refused'}","How important, if at all, is being a gun owner to your overall identity?","['Very important', 'Somewhat important', 'Not too important', 'Not at all important', 'Refused']","[1.0, 2.0, 3.0, 4.0]",Pew_American_Trends_Panel_W26
12,22,22,22,22,GUNFRIEND_W26,"{1.0: 'All or most', 2.0: 'Some', 3.0: 'Only a few', 4.0: 'None', 99.0: 'Refused'}","As far as you know, how many of your friends, if any, own guns?","['All or most', 'Some', 'Only a few', 'None', 'Refused']","[1.0, 2.0, 3.0, 4.0]",Pew_American_Trends_Panel_W26
13,25,25,25,25,SHOOTFREQ_W26,"{1.0: 'Often', 2.0: 'Sometimes', 3.0: 'Rarely', 4.0: 'Never', 99.0: 'Refused'}","How often, if ever, do you go shooting or to a gun range?","['Often', 'Sometimes', 'Rarely', 'Never', 'Refused']","[1.0, 2.0, 3.0, 4.0]",Pew_American_Trends_Panel_W26
14,26,26,26,26,GUNSAFE_W26,"{1.0: 'Safer than you would feel without a gun in your household', 2.0: 'Less safe than you would feel without a gun in your household', 3.0: 'No more or less safe', 99.0: 'Refused'}",Does having a gun in your household make you feel,"['Safer than you would feel without a gun in your household', 'Less safe than you would feel without a gun in your household', 'No more or less safe', 'Refused']","[1.0, 2.0, 1.5]",Pew_American_Trends_Panel_W26
15,29,29,29,29,GUNACCESS_W26,"{1.0: 'All of the time', 2.0: 'Most of the time', 3.0: 'Only some of the time', 4.0: 'Never', 99.0: 'Refused'}","Thinking about when you're at home, would you say there is a gun that is both loaded and easily accessible to you","['All of the time', 'Most of the time', 'Only some of the time', 'Never', 'Refused']","[1.0, 2.0, 3.0, 4.0]",Pew_American_Trends_Panel_W26
16,30,30,30,30,GUNLOCKED1_W26,"{1.0: 'All are kept in a locked place', 2.0: 'Some are kept in a locked place and some are not', 3.0: 'None are kept in a locked place', 99.0: 'Refused'}","In general, as far as you know, how many of the guns in your home would you say are kept in a locked place?","['All are kept in a locked place', 'Some are kept in a locked place and some are not', 'None are kept in a locked place', 'Refused']","[1.0, 2.0, 3.0]",Pew_American_Trends_Panel_W26
17,31,31,31,31,GUNLOADED1_W26,"{1.0: 'All are kept loaded', 2.0: 'Some are kept loaded and some are not', 3.0: 'None are kept loaded', 99.0: 'Refused'}","In general, as far as you know, how many of the guns in your home would you say are kept loaded?","['All are kept loaded', 'Some are kept loaded and some are not', 'None are kept loaded', 'Refused']","[1.0, 2.0, 3.0]",Pew_American_Trends_Panel_W26
18,32,32,32,32,GUNLOCKED2_W26,"{1.0: 'Yes, kept in a locked place', 2.0: 'No, not kept in a locked place', 99.0: 'Refused'}","In general, is the gun in your home kept in a locked place, or not?","['Yes, kept in a locked place', 'No, not kept in a locked place', 'Refused']","[1.0, 2.0]",Pew_American_Trends_Panel_W26
19,33,33,33,33,GUNLOADED2_W26,"{1.0: 'Yes, kept loaded', 2.0: 'No, not kept loaded', 99.0: 'Refused'}","In general, is the gun in your home kept loaded, or not?","['Yes, kept loaded', 'No, not kept loaded', 'Refused']","[1.0, 2.0]",Pew_American_Trends_Panel_W26
20,34,34,34,34,GUNCONTRIBA_W26,"{1.0: 'A great deal', 2.0: 'A fair amount', 3.0: 'Not too much', 4.0: 'Not at all', 99.0: 'Refused'}","How much, if at all, do you think the ease with which people can legally obtain guns contributes to gun violence in the country today?","['A great deal', 'A fair amount', 'Not too much', 'Not at all', 'Refused']","[1.0, 2.0, 3.0, 4.0]",Pew_American_Trends_Panel_W26
21,36,36,36,36,GUNCONTRIBC_W26,"{1.0: 'A great deal', 2.0: 'A fair amount', 3.0: 'Not too much', 4.0: 'Not at all', 99.0: 'Refused'}","How much, if at all, do you think the amount of gun violence in movies and television contributes to gun violence in the country today?","['A great deal', 'A fair amount', 'Not too much', 'Not at all', 'Refused']","[1.0, 2.0, 3.0, 4.0]",Pew_American_Trends_Panel_W26
22,38,38,38,38,GUNCONTRIBE_W26,"{1.0: 'A great deal', 2.0: 'A fair amount', 3.0: 'Not too much', 4.0: 'Not at all', 99.0: 'Refused'}","How much, if at all, do you think the amount of gun violence in video games contributes to gun violence in the country today?","['A great deal', 'A fair amount', 'Not too much', 'Not at all', 'Refused']","[1.0, 2.0, 3.0, 4.0]",Pew_American_Trends_Panel_W26
23,39,39,39,39,GUNCONTRIBF_W26,"{1.0: 'A great deal', 2.0: 'A fair amount', 3.0: 'Not too much', 4.0: 'Not at all', 99.0: 'Refused'}","How much, if at all, do you think family instability contributes to gun violence in the country today?","['A great deal', 'A fair amount', 'Not too much', 'Not at all', 'Refused']","[1.0, 2.0, 3.0, 4.0]",Pew_American_Trends_Panel_W26
24,40,40,40,40,GROWUPVIOL_W26,"{1.0: 'A very big problem', 2.0: 'A moderately big problem', 3.0: 'A small problem', 4.0: 'Not a problem at all', 99.0: 'Refused'}",How much of a problem was gun violence in the community where you spent the majority of time when you were growing up?,"['A very big problem', 'A moderately big problem', 'A small problem', 'Not a problem at all', 'Refused']","[1.0, 2.0, 3.0, 4.0]",Pew_American_Trends_Panel_W26
25,42,42,42,42,GROWUPGUN2A_W26,"{1.0: 'Yes, was a reason', 2.0: 'No, was not a reason', 99.0: 'Refused'}",Would you say the following was a reason or was not a reason why there were guns in your household when you were growing up? For protection,"['Yes, was a reason', 'No, was not a reason', 'Refused']","[1.0, 2.0]",Pew_American_Trends_Panel_W26
26,43,43,43,43,GROWUPGUN2B_W26,"{1.0: 'Yes, was a reason', 2.0: 'No, was not a reason', 99.0: 'Refused'}",Would you say the following was a reason or was not a reason why there were guns in your household when you were growing up? For hunting,"['Yes, was a reason', 'No, was not a reason', 'Refused']","[1.0, 2.0]",Pew_American_Trends_Panel_W26
